# l	I
1.00e-17;0.00e+00
5.05e-07;5.45e-31
1.01e-06;1.39e-09
1.52e-06;7.93e-03
2.02e-06;1.24e+01
2.53e-06;7.94e+02
3.03e-06;1.07e+04
3.54e-06;6.13e+04
4.04e-06;2.07e+05
4.55e-06;4.97e+05
5.05e-06;9.48e+05
5.56e-06;1.54e+06
6.06e-06;2.21e+06
6.57e-06;2.92e+06
7.07e-06;3.60e+06
7.58e-06;4.21e+06
8.08e-06;4.74e+06
8.59e-06;5.16e+06
9.09e-06;5.48e+06
9.60e-06;5.69e+06
1.01e-05;5.82e+06
1.06e-05;5.87e+06
1.11e-05;5.86e+06
1.16e-05;5.79e+06
1.21e-05;5.68e+06
1.26e-05;5.53e+06
1.31e-05;5.36e+06
1.36e-05;5.18e+06
1.41e-05;4.98e+06
1.46e-05;4.77e+06
1.52e-05;4.56e+06
1.57e-05;4.35e+06
1.62e-05;4.15e+06
1.67e-05;3.95e+06
1.72e-05;3.75e+06
1.77e-05;3.56e+06
1.82e-05;3.38e+06
1.87e-05;3.20e+06
1.92e-05;3.04e+06
1.97e-05;2.88e+06
2.02e-05;2.73e+06
2.07e-05;2.58e+06
2.12e-05;2.45e+06
2.17e-05;2.32e+06
2.22e-05;2.20e+06
2.27e-05;2.08e+06
2.32e-05;1.97e+06
2.37e-05;1.87e+06
2.42e-05;1.78e+06
2.47e-05;1.69e+06
2.53e-05;1.60e+06
2.58e-05;1.52e+06
2.63e-05;1.44e+06
2.68e-05;1.37e+06
2.73e-05;1.30e+06
2.78e-05;1.24e+06
2.83e-05;1.18e+06
2.88e-05;1.12e+06
2.93e-05;1.07e+06
2.98e-05;1.02e+06
3.03e-05;9.70e+05
3.08e-05;9.25e+05
3.13e-05;8.82e+05
3.18e-05;8.42e+05
3.23e-05;8.04e+05
3.28e-05;7.68e+05
3.33e-05;7.33e+05
3.38e-05;7.01e+05
3.43e-05;6.70e+05
3.48e-05;6.41e+05
3.54e-05;6.14e+05
3.59e-05;5.87e+05
3.64e-05;5.63e+05
3.69e-05;5.39e+05
3.74e-05;5.17e+05
3.79e-05;4.95e+05
3.84e-05;4.75e+05
3.89e-05;4.56e+05
3.94e-05;4.38e+05
3.99e-05;4.20e+05
4.04e-05;4.04e+05
4.09e-05;3.88e+05
4.14e-05;3.73e+05
4.19e-05;3.59e+05
4.24e-05;3.45e+05
4.29e-05;3.32e+05
4.34e-05;3.20e+05
4.39e-05;3.08e+05
4.44e-05;2.96e+05
4.49e-05;2.86e+05
4.55e-05;2.75e+05
4.60e-05;2.65e+05
4.65e-05;2.56e+05
4.70e-05;2.47e+05
4.75e-05;2.38e+05
4.80e-05;2.30e+05
4.85e-05;2.22e+05
4.90e-05;2.15e+05
4.95e-05;2.07e+05
5.00e-05;2.00e+05
